Timestamp,Algo_ms,Loop_ms,FPS,X,Y,Z,Roll,Pitch,Yaw,Mode,Gimbal_Yaw,Gimbal_Pitch
17:50:05.135,20.4,22.4,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:05.543,22.8,24.9,24.5,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:05.955,14.8,17.1,24.3,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:06.359,14.3,16.5,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:06.762,14.0,16.2,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:07.166,14.8,16.9,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:07.570,21.1,23.1,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:07.978,23.7,25.7,24.5,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:08.383,20.2,22.3,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:08.791,14.1,18.2,24.5,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:09.198,13.7,15.9,24.6,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:09.601,13.3,15.6,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:10.005,13.9,16.0,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:10.412,14.9,17.5,24.6,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:10.815,14.5,16.4,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:11.224,21.9,23.9,24.5,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:11.629,15.0,19.2,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
