Timestamp,Algo_ms,Loop_ms,FPS,Pos_X,Pos_Y,Pos_Z,Roll,Pitch,Yaw
15:43:00.492,18.54,20.23,26.79,0.000,0.000,0.000,0.00,0.00,0.00
15:43:00.832,27.32,28.96,29.40,0.000,0.000,0.000,0.00,0.00,0.00
15:43:01.181,20.37,24.01,28.64,0.000,0.000,0.000,0.00,0.00,0.00
15:43:01.520,17.66,20.53,29.55,0.000,0.000,0.000,0.00,0.00,0.00
15:43:01.857,15.87,18.78,29.63,0.000,0.000,0.000,0.00,0.00,0.00
15:43:02.193,19.06,23.13,29.77,0.000,0.000,0.000,0.00,0.00,0.00
15:43:02.529,14.55,16.92,29.77,0.000,0.000,0.000,0.00,0.00,0.00
15:43:02.865,15.69,18.34,29.78,0.000,0.000,0.000,0.00,0.00,0.00
15:43:03.200,16.73,18.61,29.81,0.000,0.000,0.000,0.00,0.00,0.00
15:43:03.536,15.27,19.50,29.83,0.000,0.000,0.000,0.00,0.00,0.00
15:43:03.886,17.56,19.69,28.50,0.000,0.000,0.000,0.00,0.00,0.00
15:43:04.222,15.39,17.17,29.83,0.000,0.000,0.000,0.00,0.00,0.00
15:43:04.566,25.84,27.77,29.01,0.000,0.000,0.000,0.00,0.00,0.00
15:43:04.903,15.51,17.88,29.68,0.000,0.000,0.000,0.00,0.00,0.00
15:43:05.250,15.73,18.08,28.82,0.000,0.000,0.000,0.00,0.00,0.00
15:43:05.595,25.78,30.36,28.99,0.000,0.000,0.000,0.00,0.00,0.00
15:43:05.937,15.27,18.70,29.22,0.000,0.000,0.000,0.00,0.00,0.00
15:43:06.277,18.24,21.35,29.42,0.000,0.000,0.000,0.00,0.00,0.00
15:43:06.613,31.09,33.55,29.83,-0.218,0.201,0.765,-155.96,25.30,-3.58
15:43:06.960,19.20,23.27,28.77,0.000,0.000,0.000,0.00,0.00,0.00
15:43:07.302,14.74,18.10,29.21,0.000,0.000,0.000,0.00,0.00,0.00
15:43:07.638,20.40,23.29,29.77,0.000,0.000,0.000,0.00,0.00,0.00
15:43:07.977,16.50,18.94,29.49,0.000,0.000,0.000,0.00,0.00,0.00
15:43:08.328,18.96,22.94,28.51,0.000,0.000,0.000,0.00,0.00,0.00
15:43:08.674,23.58,26.72,28.89,0.000,0.000,0.000,0.00,0.00,0.00
15:43:09.010,22.22,26.89,29.84,0.000,0.000,0.000,0.00,0.00,0.00
15:43:09.350,27.41,30.76,29.35,0.000,0.000,0.000,0.00,0.00,0.00
15:43:09.696,16.65,19.02,28.93,0.000,0.000,0.000,0.00,0.00,0.00
15:43:10.036,19.73,23.98,29.44,0.000,0.000,0.000,0.00,0.00,0.00
15:43:10.373,23.71,27.06,29.65,0.000,0.000,0.000,0.00,0.00,0.00
15:43:10.719,20.76,24.79,28.91,0.000,0.000,0.000,0.00,0.00,0.00
15:43:11.062,15.96,20.05,29.09,0.000,0.000,0.000,0.00,0.00,0.00
15:43:11.404,18.76,23.61,29.26,0.000,0.000,0.000,0.00,0.00,0.00
15:43:11.759,18.70,21.54,28.14,0.000,0.000,0.000,0.00,0.00,0.00
15:43:12.098,16.28,18.46,29.52,0.000,0.000,0.000,0.00,0.00,0.00
15:43:12.451,40.52,43.57,28.37,0.099,-0.020,0.660,-168.07,-8.90,-1.96
15:43:12.789,23.33,26.04,29.57,0.000,0.000,0.000,0.00,0.00,0.00
15:43:13.127,18.48,20.84,29.60,0.000,0.000,0.000,0.00,0.00,0.00
15:43:13.470,17.83,21.18,29.09,0.000,0.000,0.000,0.00,0.00,0.00
15:43:13.817,15.57,17.79,28.86,0.000,0.000,0.000,0.00,0.00,0.00
15:43:14.156,24.48,28.70,29.45,-0.103,0.040,0.683,-167.27,1.54,-2.09
15:43:14.500,19.85,25.04,29.10,-0.131,0.022,0.713,-173.96,12.48,-4.18
15:43:14.845,21.92,24.92,29.00,-0.093,0.007,0.725,-173.47,17.33,-3.15
15:43:15.186,26.16,28.27,29.28,-0.094,-0.020,0.723,-166.11,16.56,-3.29
15:43:15.528,23.07,26.51,29.25,-0.136,-0.087,0.737,-171.02,14.53,-3.24
15:43:15.865,31.93,35.40,29.66,-0.155,-0.029,0.762,-178.56,27.47,-8.78
15:43:16.207,21.29,23.71,29.25,-0.169,0.047,0.755,-175.22,4.13,-4.45
15:43:16.543,25.97,30.52,29.81,-0.110,0.044,0.734,-167.04,12.09,1.08
15:43:16.881,23.08,27.49,29.60,-0.080,0.005,0.764,-176.10,-7.28,3.05
15:43:17.216,27.36,31.12,29.82,-0.117,-0.008,0.766,-172.83,-14.21,-2.89
15:43:17.554,26.47,29.73,29.62,-0.083,0.004,0.780,-172.53,-3.21,0.65
15:43:17.901,22.07,26.31,28.76,-0.045,0.005,0.765,-170.96,9.96,2.12
15:43:18.245,19.17,23.43,29.13,0.040,0.013,0.712,-161.80,18.02,5.65
15:43:18.586,23.31,25.47,29.34,0.142,0.033,0.647,-169.07,22.70,6.50
15:43:18.927,26.23,28.55,29.28,0.185,0.044,0.634,-177.39,29.43,4.94
15:43:19.265,31.78,35.32,29.57,0.202,0.017,0.632,-168.17,33.36,9.99
15:43:19.607,18.91,24.92,29.25,0.227,-0.010,0.604,172.41,2.94,9.73
15:43:19.948,24.64,28.36,29.30,0.176,-0.031,0.642,172.53,-8.65,9.63
15:43:20.287,18.10,22.60,29.52,0.074,-0.022,0.658,168.64,-22.52,11.86
15:43:20.622,24.39,26.36,29.82,0.023,0.003,0.648,162.64,-27.70,13.56
15:43:20.974,16.31,20.47,28.46,0.011,0.014,0.661,163.46,-28.81,15.53
15:43:21.320,19.58,22.43,28.88,-0.010,0.012,0.657,161.31,-29.55,15.54
15:43:21.664,21.58,25.57,29.11,-0.021,0.013,0.668,161.16,-28.66,16.03
15:43:22.002,18.92,23.62,29.51,-0.022,0.012,0.657,160.98,-30.53,15.72
15:43:22.338,27.19,30.57,29.79,-0.022,0.013,0.655,161.03,-30.73,16.55
15:43:22.693,19.72,24.02,28.17,-0.022,0.015,0.659,160.78,-28.53,16.00
15:43:23.030,27.29,31.64,29.69,-0.025,0.016,0.656,159.97,-28.16,16.67
15:43:23.366,19.92,23.93,29.80,-0.028,0.017,0.656,161.68,-28.35,15.40
15:43:23.709,35.76,38.16,29.12,-0.028,0.017,0.654,160.89,-29.03,16.36
15:43:24.054,22.55,25.79,29.01,-0.029,0.017,0.654,161.21,-28.31,16.30
15:43:24.391,23.52,27.85,29.67,-0.031,0.017,0.656,161.26,-28.60,15.54
15:43:24.729,28.50,32.10,29.51,-0.044,0.028,0.644,164.74,-30.55,10.91
15:43:25.083,30.43,32.87,28.27,-0.082,0.046,0.625,167.05,-24.69,8.90
15:43:25.419,27.41,31.36,29.82,-0.066,0.025,0.625,167.52,-24.24,7.90
15:43:25.764,20.11,24.43,28.94,-0.065,0.009,0.618,170.47,-22.90,7.02
15:43:26.106,28.74,31.89,29.21,-0.090,0.018,0.611,174.65,-15.82,5.62
15:43:26.442,18.51,22.59,29.76,-0.145,0.016,0.614,-177.91,-14.18,1.96
15:43:26.786,19.13,23.26,29.10,-0.181,0.014,0.607,-172.22,-13.50,3.60
15:43:27.128,16.17,18.52,29.25,-0.203,0.006,0.673,-171.78,-15.42,3.36
15:43:27.464,21.24,25.08,29.80,-0.172,-0.001,0.722,-171.04,-13.79,5.06
15:43:27.812,17.59,19.95,28.74,-0.126,-0.018,0.754,-174.72,-4.07,4.33
15:43:28.149,24.00,27.96,29.60,-0.101,-0.016,0.779,-173.80,-9.28,3.18
15:43:28.485,23.56,26.83,29.83,-0.081,0.004,0.792,-171.63,-12.22,2.09
15:43:28.820,30.64,33.75,29.80,-0.064,0.007,0.802,177.05,-11.26,3.23
15:43:29.166,19.41,24.48,28.88,-0.048,0.007,0.800,-175.59,-6.00,3.14
15:43:29.510,32.56,35.20,29.13,-0.037,0.007,0.800,-169.74,-7.59,2.37
15:43:29.855,25.56,28.50,28.95,-0.036,0.007,0.813,-175.48,-5.54,2.24
15:43:30.194,27.73,31.67,29.51,-0.036,0.007,0.803,-170.67,-3.77,2.23
15:43:30.543,30.11,32.75,28.67,-0.034,0.000,0.806,-170.42,-6.24,1.31
15:43:30.881,30.68,34.41,29.56,-0.016,-0.064,0.788,-173.41,-11.04,4.46
15:43:31.224,29.82,32.49,29.15,-0.000,-0.103,0.781,-177.54,14.25,8.29
15:43:31.573,18.80,20.88,28.64,0.009,-0.069,0.770,-173.41,14.61,8.43
15:43:31.918,23.23,27.16,29.00,0.015,-0.050,0.761,176.08,18.33,6.48
15:43:32.259,16.36,20.31,29.37,0.025,-0.032,0.745,173.95,18.79,6.97
15:43:32.596,27.14,33.09,29.66,0.016,-0.022,0.729,173.98,20.08,4.03
