Timestamp,Algo_ms,Loop_ms,FPS,Pos_X,Pos_Y,Pos_Z,Roll,Pitch,Yaw
15:23:21.026,22.22,24.09,27.41,0.000,0.000,0.000,0.00,0.00,0.00
15:23:21.361,14.32,16.02,29.85,0.000,0.000,0.000,0.00,0.00,0.00
15:23:21.708,13.93,15.67,28.76,0.000,0.000,0.000,0.00,0.00,0.00
15:23:22.044,16.66,19.70,29.82,0.000,0.000,0.000,0.00,0.00,0.00
15:23:22.379,16.33,17.97,29.83,0.000,0.000,0.000,0.00,0.00,0.00
15:23:22.717,14.02,15.68,29.57,0.000,0.000,0.000,0.00,0.00,0.00
15:23:23.052,16.75,20.06,29.83,0.000,0.000,0.000,0.00,0.00,0.00
15:23:23.387,16.73,18.90,29.84,0.000,0.000,0.000,0.00,0.00,0.00
15:23:23.725,13.89,15.48,29.57,0.000,0.000,0.000,0.00,0.00,0.00
15:23:24.062,15.21,17.03,29.69,0.000,0.000,0.000,0.00,0.00,0.00
15:23:24.398,14.16,15.80,29.82,0.000,0.000,0.000,0.00,0.00,0.00
15:23:24.735,17.02,18.77,29.62,0.000,0.000,0.000,0.00,0.00,0.00
15:23:25.070,15.94,18.01,29.84,0.000,0.000,0.000,0.00,0.00,0.00
15:23:25.407,14.62,16.60,29.68,0.000,0.000,0.000,0.00,0.00,0.00
15:23:25.747,15.80,17.68,29.39,0.000,0.000,0.000,0.00,0.00,0.00
15:23:26.083,13.82,15.44,29.81,0.000,0.000,0.000,0.00,0.00,0.00
15:23:26.422,21.23,23.48,29.49,0.000,0.000,0.000,0.00,0.00,0.00
15:23:26.759,14.27,17.72,29.71,0.000,0.000,0.000,0.00,0.00,0.00
15:23:27.094,19.00,20.69,29.80,0.000,0.000,0.000,0.00,0.00,0.00
15:23:27.432,30.00,34.64,29.63,-0.185,0.057,0.521,172.34,32.03,-62.55
15:23:27.769,16.65,19.83,29.65,0.048,0.017,0.382,-165.99,23.12,-10.91
15:23:28.109,16.63,18.84,29.36,0.159,0.011,0.343,-161.31,10.62,5.74
15:23:28.451,15.44,19.65,29.26,0.059,-0.022,0.424,-170.11,-8.27,0.09
15:23:28.790,18.00,19.91,29.51,0.028,-0.022,0.438,-175.90,-12.74,2.75
15:23:29.126,22.49,25.41,29.76,0.096,0.000,0.416,-178.28,-11.93,7.49
15:23:29.465,21.14,23.10,29.51,0.101,0.012,0.413,-177.44,-9.92,8.00
15:23:29.802,17.87,20.85,29.70,0.082,0.028,0.410,-177.45,-8.14,11.39
15:23:30.141,22.75,26.48,29.45,0.039,0.019,0.425,-175.76,-11.82,11.63
15:23:30.487,23.24,26.49,28.96,-0.037,-0.001,0.409,-171.49,-26.87,7.74
15:23:30.824,32.31,35.72,29.62,-0.128,-0.004,0.374,-170.12,-39.91,3.78
15:23:31.160,18.68,22.62,29.82,-0.188,0.001,0.373,-172.78,-34.70,-2.67
15:23:31.499,23.19,26.47,29.48,-0.161,0.009,0.394,-173.41,-28.31,-6.96
15:23:31.841,15.78,18.36,29.26,-0.126,0.016,0.443,-177.74,-24.84,-8.08
15:23:32.177,17.30,20.18,29.69,-0.116,0.034,0.465,179.58,-27.40,-7.33
15:23:32.513,16.68,19.27,29.81,-0.091,0.030,0.504,178.85,-18.99,-8.15
15:23:32.852,24.65,27.62,29.48,-0.062,0.016,0.517,-174.36,-5.25,-9.10
15:23:33.188,18.52,23.18,29.80,-0.042,0.009,0.514,-178.01,-1.86,-9.99
15:23:33.530,28.66,31.01,29.24,-0.031,0.014,0.513,179.85,-10.53,-11.92
15:23:33.867,20.25,24.19,29.62,0.013,-0.088,0.486,177.55,-3.37,-4.81
15:23:34.204,26.90,29.69,29.73,-0.007,-0.133,0.479,-171.91,-1.04,-3.07
15:23:34.541,21.24,24.50,29.63,-0.016,-0.044,0.490,-179.27,-11.16,-3.10
15:23:34.878,16.60,18.90,29.69,-0.016,0.057,0.472,175.00,-14.28,-1.04
15:23:35.213,15.61,18.64,29.84,-0.037,0.152,0.490,167.66,6.63,-5.40
15:23:35.560,15.50,17.71,28.77,-0.039,0.068,0.518,-177.99,6.47,-4.26
15:23:35.896,18.76,22.42,29.81,-0.028,-0.009,0.514,-170.08,12.90,-2.70
15:23:36.237,16.86,19.50,29.35,0.054,0.003,0.480,-173.89,24.38,0.06
