Timestamp,Algo_ms,Loop_ms,FPS,Pos_X,Pos_Y,Pos_Z,Roll,Pitch,Yaw,Yaw_Cmd,Pitch_Cmd
09:17:39.305,19.39,21.64,28.32,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:39.659,21.48,27.10,28.23,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:40.002,24.46,27.58,29.19,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:40.353,13.08,14.64,28.53,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:40.689,22.38,26.22,29.70,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:41.028,13.34,15.13,29.49,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:41.374,14.01,18.45,28.91,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:41.719,25.48,28.80,28.96,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:42.058,13.66,19.77,29.51,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:42.399,24.04,27.16,29.36,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:42.744,21.06,25.41,28.94,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:43.082,26.26,29.79,29.65,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:43.429,15.58,18.56,28.80,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:43.771,21.75,28.21,29.24,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:44.112,14.42,20.58,29.37,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:44.456,16.90,20.69,29.03,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:44.800,20.53,23.78,29.04,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:45.144,12.74,18.14,29.13,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:45.491,16.44,20.55,28.78,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:45.833,27.25,29.38,29.24,0.000,0.000,0.000,0.00,0.00,0.00,0,0
09:17:46.177,14.68,18.77,29.04,-0.011,0.065,0.530,-165.32,9.51,10.76,0,-20
09:17:46.518,24.15,27.77,29.39,0.064,0.020,0.545,-178.49,-18.65,6.60,16,-4
09:17:46.859,18.98,24.21,29.34,0.047,-0.012,0.559,174.65,-17.05,4.95,12,5
09:17:47.199,25.75,28.90,29.39,0.013,-0.007,0.546,175.15,-21.30,1.99,6,4
09:17:47.547,19.29,22.66,28.69,-0.038,0.018,0.550,176.77,-23.22,2.77,-4,0
