Timestamp,Algo_ms,Loop_ms,FPS,Pos_X,Pos_Y,Pos_Z,Roll,Pitch,Yaw
17:18:08.686,19.60,21.65,25.72,0.000,0.000,0.000,0.00,0.00,0.00
17:18:09.022,26.50,28.91,29.84,0.000,0.000,0.000,0.00,0.00,0.00
17:18:09.359,14.68,18.37,29.66,0.000,0.000,0.000,0.00,0.00,0.00
17:18:09.708,18.88,20.81,28.61,0.000,0.000,0.000,0.00,0.00,0.00
17:18:10.058,24.40,27.70,28.63,0.000,0.000,0.000,0.00,0.00,0.00
17:18:10.399,22.79,26.76,29.25,0.000,0.000,0.000,0.00,0.00,0.00
17:18:10.737,28.33,32.57,29.63,0.000,0.000,0.000,0.00,0.00,0.00
17:18:11.085,35.97,38.66,28.74,0.000,0.000,0.000,0.00,0.00,0.00
17:18:11.424,23.45,29.62,29.49,0.000,0.000,0.000,0.00,0.00,0.00
17:18:11.777,27.80,30.27,28.34,0.000,0.000,0.000,0.00,0.00,0.00
17:18:12.117,29.24,33.00,29.36,0.000,0.000,0.000,0.00,0.00,0.00
17:18:12.466,30.87,34.67,28.69,0.000,0.000,0.000,0.00,0.00,0.00
17:18:12.807,32.79,34.78,29.31,0.000,0.000,0.000,0.00,0.00,0.00
17:18:13.155,32.45,36.88,28.71,0.000,0.000,0.000,0.00,0.00,0.00
17:18:13.503,35.53,38.32,28.74,0.000,0.000,0.000,0.00,0.00,0.00
17:18:13.871,26.09,28.20,27.18,0.000,0.000,0.000,0.00,0.00,0.00
17:18:14.210,32.29,34.48,29.52,0.000,0.000,0.000,0.00,0.00,0.00
17:18:14.556,29.53,34.10,28.91,0.000,0.000,0.000,0.00,0.00,0.00
17:18:14.903,25.70,29.52,28.82,0.000,0.000,0.000,0.00,0.00,0.00
17:18:15.254,37.28,39.80,28.46,0.000,0.000,0.000,0.00,0.00,0.00
17:18:15.595,24.41,32.03,29.34,0.000,0.000,0.000,0.00,0.00,0.00
17:18:15.942,30.12,33.31,28.82,0.000,0.000,0.000,0.00,0.00,0.00
17:18:16.285,21.48,23.71,29.19,0.000,0.000,0.000,0.00,0.00,0.00
17:18:16.624,30.02,32.35,29.45,0.000,0.000,0.000,0.00,0.00,0.00
17:18:16.963,27.29,30.28,29.47,0.000,0.000,0.000,0.00,0.00,0.00
17:18:17.301,30.24,33.38,29.62,0.000,0.000,0.000,0.00,0.00,0.00
17:18:17.646,29.35,32.49,28.99,0.000,0.000,0.000,0.00,0.00,0.00
17:18:17.985,27.42,29.45,29.52,0.000,0.000,0.000,0.00,0.00,0.00
17:18:18.330,29.69,32.59,28.96,0.000,0.000,0.000,0.00,0.00,0.00
17:18:18.688,31.13,33.95,27.92,0.000,0.000,0.000,0.00,0.00,0.00
17:18:19.037,27.24,29.34,28.67,0.000,0.000,0.000,0.00,0.00,0.00
17:18:19.380,23.73,27.65,29.16,0.000,0.000,0.000,0.00,0.00,0.00
17:18:19.726,20.31,22.29,28.91,0.000,0.000,0.000,0.00,0.00,0.00
17:18:20.066,30.38,34.14,29.39,0.000,0.000,0.000,0.00,0.00,0.00
17:18:20.403,23.06,27.65,29.67,0.000,0.000,0.000,0.00,0.00,0.00
17:18:20.740,25.40,29.01,29.73,0.000,0.000,0.000,0.00,0.00,0.00
17:18:21.080,29.47,32.62,29.36,0.000,0.000,0.000,0.00,0.00,0.00
17:18:21.425,31.48,34.34,29.00,0.000,0.000,0.000,0.00,0.00,0.00
17:18:21.782,30.65,33.75,28.00,0.000,0.000,0.000,0.00,0.00,0.00
17:18:22.132,33.67,37.76,28.63,0.000,0.000,0.000,0.00,0.00,0.00
17:18:22.477,27.53,30.28,28.95,0.005,0.070,0.601,168.12,8.75,85.62
17:18:22.815,25.56,28.50,29.55,-0.005,0.005,0.603,169.78,13.60,80.81
17:18:23.167,31.91,35.35,28.44,-0.011,-0.007,0.605,169.17,11.33,81.18
17:18:23.506,30.69,33.90,29.54,-0.018,-0.049,0.604,169.48,9.38,79.25
17:18:23.844,27.98,31.06,29.55,-0.088,-0.199,0.600,166.02,5.14,65.87
17:18:24.182,30.02,34.09,29.56,-0.092,-0.123,0.623,165.91,12.62,63.19
17:18:24.520,24.06,31.99,29.61,-0.102,-0.004,0.649,150.65,5.44,62.43
17:18:24.867,26.68,29.98,28.85,-0.185,-0.047,0.595,150.55,2.60,49.04
17:18:25.202,25.73,29.83,29.81,-0.256,-0.099,0.526,159.52,7.11,31.19
17:18:25.537,15.38,18.74,29.82,-0.299,-0.063,0.524,167.14,17.03,15.49
17:18:25.873,20.49,24.35,29.77,-0.284,0.040,0.587,165.09,25.50,-2.10
17:18:26.214,14.94,17.38,29.36,0.000,0.000,0.000,0.00,0.00,0.00
17:18:26.553,15.12,16.87,29.49,0.000,0.000,0.000,0.00,0.00,0.00
17:18:26.888,16.18,22.14,29.82,-0.045,0.138,0.781,154.16,34.80,1.47
17:18:27.225,13.73,15.58,29.67,-0.044,0.109,0.769,145.83,16.24,10.35
17:18:27.563,17.23,20.77,29.66,-0.052,0.045,0.739,149.14,0.01,10.72
17:18:27.915,15.99,17.88,28.41,-0.084,0.150,0.628,162.04,-20.14,10.11
17:18:28.251,14.46,16.39,29.71,0.000,0.000,0.000,0.00,0.00,0.00
17:18:28.590,15.01,17.22,29.53,0.000,0.000,0.000,0.00,0.00,0.00
17:18:28.927,15.74,18.05,29.63,-0.097,0.236,0.608,178.00,13.58,0.25
17:18:29.270,15.23,18.87,29.16,-0.030,0.028,0.663,162.74,-0.82,6.35
17:18:29.609,16.51,18.79,29.53,0.104,-0.111,0.653,177.31,-11.87,10.74
17:18:29.947,16.25,20.08,29.58,0.055,-0.040,0.657,179.99,-14.19,11.09
17:18:30.288,17.87,22.39,29.34,-0.118,0.124,0.637,-175.92,21.95,5.59
17:18:30.635,18.14,20.02,28.81,-0.185,0.125,0.656,-173.79,11.61,3.29
17:18:30.971,20.20,23.16,29.76,-0.165,0.023,0.714,-160.36,24.52,6.54
17:18:31.306,26.27,29.59,29.84,-0.059,-0.024,0.695,-154.54,29.88,11.65
17:18:31.654,27.62,33.42,28.75,0.084,-0.027,0.620,-157.70,26.99,14.31
17:18:31.992,23.31,26.91,29.56,0.195,-0.010,0.549,171.27,13.39,14.91
17:18:32.331,19.18,22.29,29.51,0.208,-0.051,0.537,-174.16,-7.36,23.26
17:18:32.674,23.02,26.28,29.19,0.109,-0.084,0.576,173.90,-14.92,22.00
17:18:33.010,22.42,27.18,29.73,0.101,-0.116,0.573,169.27,-18.84,27.61
17:18:33.346,24.84,28.55,29.76,0.071,-0.139,0.587,164.80,-12.63,38.24
17:18:33.693,17.74,22.36,28.83,-0.114,-0.110,0.622,160.92,-13.02,29.19
17:18:34.031,18.99,22.79,29.57,-0.135,0.011,0.611,152.87,-13.04,27.69
17:18:34.367,22.34,26.70,29.79,-0.092,0.053,0.596,145.76,-9.92,27.70
17:18:34.704,17.58,21.11,29.68,-0.071,0.035,0.603,151.19,-7.91,23.51
17:18:35.051,16.32,18.29,28.79,-0.087,0.025,0.599,157.30,-9.50,17.70
17:18:35.388,14.63,17.61,29.65,-0.143,0.055,0.575,-173.86,-27.60,11.48
17:18:35.724,17.65,20.87,29.78,-0.231,0.150,0.538,161.33,7.71,-0.96
17:18:36.063,13.53,16.57,29.47,-0.202,0.202,0.601,178.79,21.03,3.99
17:18:36.413,15.80,18.28,28.59,-0.127,0.083,0.683,-172.80,21.59,4.40
