Timestamp,Algo_ms,Loop_ms,FPS,Dist_m,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
16:46:50.074,32.86,34.76,24.17,0.00,0,0,0,0
16:46:50.475,21.85,23.64,24.90,0.00,0,0,0,0
16:46:50.886,15.92,20.13,24.36,0.00,0,0,0,0
16:46:51.291,13.50,15.53,24.65,0.00,0,0,0,0
16:46:51.695,14.11,16.12,24.76,0.00,0,0,0,0
16:46:52.097,13.76,15.87,24.89,0.00,0,0,0,0
16:46:52.500,14.06,16.03,24.80,0.00,0,0,0,0
16:46:52.905,13.92,15.86,24.72,0.00,0,0,0,0
16:46:53.307,19.73,21.90,24.89,0.00,0,0,0,0
16:46:53.713,21.73,23.50,24.62,0.00,0,0,0,0
16:46:54.114,20.02,21.94,24.91,0.00,44,-20,6,5
16:46:54.522,18.17,22.70,24.51,0.00,81,-17,12,4
16:46:54.930,14.43,16.69,24.51,0.00,52,-18,7,4
16:46:55.335,13.75,15.82,24.73,0.00,144,-17,21,4
16:46:55.737,13.70,15.74,24.88,0.00,280,-3,42,0
16:46:56.138,12.90,15.01,24.89,0.00,250,-5,37,0
16:46:56.540,12.42,14.51,24.89,0.00,127,-18,19,4
16:46:56.942,13.58,15.73,24.90,0.00,9,-13,0,0
16:46:57.343,15.09,17.15,24.90,0.00,-127,-20,-19,5
16:46:57.751,21.52,23.63,24.54,0.00,-232,-38,-34,9
16:46:58.152,24.69,26.58,24.90,0.00,-255,-20,-38,5
16:46:58.556,22.71,24.73,24.77,0.00,-204,-27,-30,6
16:46:58.958,14.66,16.61,24.90,0.00,-243,21,-36,-5
16:46:59.359,20.63,22.59,24.90,0.00,-236,37,-35,-9
16:46:59.769,12.59,14.82,24.43,0.00,-188,20,-28,-5
16:47:00.174,11.66,14.00,24.68,0.00,-107,6,-16,0
16:47:00.576,12.13,14.25,24.89,0.00,-23,6,-3,0
16:47:00.977,12.24,14.43,24.89,0.00,23,10,3,0
16:47:01.379,12.39,14.43,24.89,0.00,43,-40,6,10
16:47:01.781,12.04,14.20,24.90,0.00,97,-150,14,37
16:47:02.184,11.57,13.63,24.80,0.00,131,-168,19,42
16:47:02.587,10.69,12.77,24.80,0.00,136,-88,20,22
16:47:02.994,13.97,15.95,24.56,0.00,125,13,18,0
16:47:03.396,12.45,14.37,24.91,0.00,147,17,22,-4
16:47:03.797,12.86,14.80,24.90,0.00,109,-18,16,4
16:47:04.199,19.39,21.70,24.89,0.00,86,-33,12,8
16:47:04.603,15.15,19.30,24.78,0.00,30,12,4,0
16:47:05.011,12.68,14.99,24.51,0.00,5,24,0,-6
16:47:05.413,12.55,14.60,24.86,0.00,-3,5,0,0
16:47:05.815,12.55,14.61,24.88,0.00,-3,3,0,0
16:47:06.218,12.74,14.89,24.79,0.00,-25,60,-3,-15
16:47:06.620,12.07,14.20,24.89,0.00,-65,210,-9,-52
16:47:07.022,12.28,14.48,24.90,0.00,-130,197,-19,-49
16:47:07.423,12.58,14.66,24.90,0.00,-67,31,-10,-7
16:47:07.827,13.27,15.38,24.76,0.00,-11,-66,0,16
16:47:08.234,19.74,21.75,24.57,0.00,-136,-45,-20,11
16:47:08.636,19.17,21.07,24.91,0.00,-311,7,-46,0
16:47:09.037,12.40,14.30,24.90,0.00,-240,55,-36,-13
16:47:09.439,19.93,21.81,24.90,0.00,-70,44,-10,-11
16:47:09.843,14.05,18.52,24.72,0.00,34,-1,5,0
16:47:10.249,12.87,15.31,24.63,0.00,105,-27,15,6
16:47:10.653,12.57,14.76,24.75,0.00,155,-25,23,6
16:47:11.055,12.12,14.23,24.88,0.00,130,-2,19,0
16:47:11.457,11.33,13.53,24.88,0.00,153,10,22,0
16:47:11.859,11.85,14.00,24.89,0.00,196,7,29,0
16:47:12.261,12.87,14.98,24.90,0.00,182,16,27,-4
16:47:12.664,13.17,15.29,24.80,0.00,186,10,27,0
16:47:13.071,21.18,23.06,24.58,0.00,220,7,33,0
16:47:13.476,21.03,22.91,24.68,0.00,195,-14,29,0
16:47:13.879,13.43,15.43,24.78,0.00,162,-55,24,13
16:47:14.287,13.97,16.15,24.53,0.00,96,-63,14,15
16:47:14.691,14.78,17.14,24.73,0.00,28,2,4,0
16:47:15.093,13.96,16.11,24.87,0.00,-23,12,-3,0
16:47:15.496,14.32,16.42,24.87,0.00,-55,-115,-8,28
16:47:15.899,13.77,15.91,24.79,0.00,-55,-165,-8,41
16:47:16.301,12.18,14.30,24.90,0.00,-33,-112,-4,28
16:47:16.702,10.94,13.07,24.90,0.00,-28,-48,-4,12
16:47:17.104,10.79,12.89,24.90,0.00,-19,2,-2,0
16:47:17.505,11.03,13.20,24.91,0.00,-10,-100,0,25
16:47:17.907,11.18,13.20,24.90,0.00,-23,-188,-3,47
16:47:18.310,10.87,13.01,24.79,0.00,-24,-100,-3,25
16:47:18.715,17.50,19.50,24.71,0.00,-35,-47,-5,11
16:47:19.117,17.63,19.53,24.91,0.00,-40,-48,-6,12
16:47:19.520,20.20,22.14,24.78,0.00,-63,-67,-9,16
16:47:19.922,13.20,17.74,24.89,0.00,-74,-50,-11,12
16:47:20.327,11.63,13.73,24.71,0.00,-74,-20,-11,5
16:47:20.730,11.36,13.62,24.76,0.00,-76,-61,-11,15
16:47:21.132,10.92,13.23,24.90,0.00,-81,-183,-12,45
16:47:21.534,10.90,13.11,24.90,0.00,-105,-198,-15,49
16:47:21.935,10.68,12.65,24.89,0.00,0,0,0,0
16:47:22.337,10.77,12.88,24.90,0.00,-125,-104,-18,26
16:47:22.739,11.10,13.16,24.90,0.00,-101,175,-15,-43
16:47:23.140,10.49,12.46,24.91,0.00,0,0,0,0
16:47:23.543,10.57,12.56,24.80,0.00,0,0,0,0
16:47:23.947,10.91,12.86,24.81,0.00,0,0,0,0
16:47:24.348,10.72,16.35,24.91,0.00,0,0,0,0
16:47:24.750,19.13,20.97,24.90,0.00,0,0,0,0
16:47:25.153,13.03,14.95,24.79,0.00,-35,220,-5,-55
16:47:25.557,19.34,21.19,24.77,0.00,-19,99,-2,-24
16:47:25.958,19.92,21.81,24.91,0.00,-28,-35,-4,8
16:47:26.360,19.17,21.25,24.89,0.00,5,92,0,-23
16:47:26.771,15.11,18.72,24.35,0.00,50,201,7,-50
