Timestamp,Algo_ms,Loop_ms,FPS,Dist_m,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
16:57:23.996,45.85,48.63,27.49,0.00,0,0,0,0
16:57:24.345,19.37,24.92,28.62,0.00,0,0,0,0
16:57:24.695,13.43,15.62,28.64,0.00,0,0,0,0
16:57:25.036,25.66,27.51,29.25,0.00,0,0,0,0
16:57:25.376,14.54,18.96,29.41,0.00,0,0,0,0
16:57:25.718,16.77,20.37,29.25,0.00,0,0,0,0
16:57:26.063,14.06,16.14,29.01,0.00,0,0,0,0
16:57:26.407,19.09,23.48,29.06,0.00,0,0,0,0
16:57:26.748,21.58,25.21,29.33,0.00,0,0,0,0
16:57:27.091,15.94,20.57,29.15,0.00,0,0,0,0
16:57:27.429,23.59,25.74,29.60,0.00,0,0,0,0
16:57:27.773,21.50,26.78,29.08,0.00,0,0,0,0
16:57:28.112,28.59,31.57,29.48,0.00,0,0,0,0
16:57:28.451,16.03,20.84,29.53,0.00,0,0,0,0
16:57:28.792,26.80,29.39,29.34,0.00,0,0,0,0
16:57:29.132,14.61,18.67,29.36,0.00,0,0,0,0
16:57:29.472,20.07,23.43,29.41,0.00,0,0,0,0
16:57:29.812,19.18,23.25,29.46,0.00,0,0,0,0
16:57:30.162,23.41,25.29,28.59,0.00,131,117,19,-29
16:57:30.502,15.69,19.14,29.38,0.00,82,48,12,-12
16:57:30.843,14.52,17.52,29.34,0.00,137,-36,20,9
16:57:31.198,23.08,25.67,28.16,0.00,235,-30,35,7
16:57:31.537,13.44,17.64,29.45,0.00,180,15,27,0
16:57:31.886,23.42,25.33,28.67,0.00,74,-15,11,0
16:57:32.226,18.94,21.56,29.44,0.00,-30,-38,-4,9
16:57:32.574,15.67,18.58,28.71,0.00,-105,-50,-15,12
16:57:32.913,29.49,32.15,29.54,0.00,-152,-54,-22,13
16:57:33.253,14.93,18.08,29.36,0.00,-102,-13,-15,0
16:57:33.593,23.66,27.32,29.41,0.00,-33,22,-4,-5
16:57:33.932,17.61,21.64,29.56,0.00,2,21,0,-5
16:57:34.269,29.69,32.77,29.62,0.00,11,7,0,0
16:57:34.611,17.26,21.95,29.30,0.00,-2,5,0,0
16:57:34.957,22.84,26.34,28.89,0.00,-141,13,-21,0
16:57:35.303,28.33,32.06,28.91,0.00,-222,17,-33,-4
16:57:35.642,25.80,28.70,29.44,0.00,-219,18,-32,-4
16:57:35.983,14.66,18.71,29.33,0.00,-118,-6,-17,0
16:57:36.319,15.40,18.94,29.80,0.00,-68,-18,-10,4
16:57:36.660,12.94,17.21,29.34,0.00,-68,6,-10,0
16:57:37.001,20.60,24.01,29.33,0.00,-149,59,-22,-14
16:57:37.342,12.77,17.11,29.32,0.00,-112,8,-16,0
16:57:37.682,19.07,21.85,29.42,0.00,-40,-78,-6,19
16:57:38.022,12.10,14.48,29.38,0.00,42,-98,6,24
16:57:38.363,12.92,15.56,29.31,0.00,180,41,27,-10
16:57:38.701,12.04,14.33,29.61,0.00,250,92,37,-23
16:57:39.038,23.71,26.97,29.64,0.00,187,35,28,-8
16:57:39.374,17.48,20.41,29.79,0.00,67,-10,10,0
16:57:39.716,18.08,21.56,29.28,0.00,-20,-30,-3,7
16:57:40.057,17.64,22.76,29.25,0.00,-29,-30,-4,7
16:57:40.405,26.91,30.24,28.73,0.00,53,1,7,0
16:57:40.743,15.24,19.15,29.59,0.00,155,12,23,0
16:57:41.079,26.50,29.95,29.80,0.00,198,39,29,-9
16:57:41.427,13.85,16.06,28.72,0.00,147,23,22,-5
16:57:41.765,23.85,27.57,29.59,0.00,95,-5,14,0
