Timestamp,Algo_ms,Loop_ms,FPS,Body_X,Body_Y,Alt_Z,Marker_Yaw
16:38:48.260,24.24,29.70,27.96,0.000,0.000,0.000,0.00
16:38:48.596,23.29,26.79,29.81,0.000,0.000,0.000,0.00
16:38:48.931,19.63,23.34,29.79,0.000,-0.013,0.792,4.59
16:38:49.267,15.60,18.94,29.81,0.000,0.000,0.000,0.00
16:38:49.605,17.12,21.23,29.59,0.001,-0.009,0.835,3.18
16:38:49.940,15.07,19.59,29.83,0.001,-0.009,0.813,1.74
16:38:50.275,15.81,19.82,29.83,0.001,-0.009,0.808,1.58
16:38:50.611,18.63,22.39,29.79,0.001,-0.010,0.789,-0.07
16:38:50.946,19.15,23.89,29.81,0.000,-0.012,0.770,1.58
16:38:51.282,18.27,21.97,29.80,-0.000,-0.013,0.785,3.14
16:38:51.620,16.79,20.28,29.60,-0.000,-0.014,0.793,3.15
16:38:51.955,19.16,23.73,29.84,-0.000,-0.015,0.793,3.15
16:38:52.292,17.75,21.37,29.67,-0.000,-0.015,0.771,1.62
16:38:52.627,17.04,21.48,29.82,-0.001,-0.016,0.789,-0.10
16:38:52.964,19.22,24.21,29.68,-0.001,-0.017,0.787,1.45
16:38:53.300,19.08,22.78,29.79,-0.001,-0.019,0.810,1.29
16:38:53.635,17.81,21.62,29.81,-0.001,-0.020,0.813,1.59
16:38:53.971,16.90,20.37,29.79,0.000,0.000,0.000,0.00
16:38:54.306,16.68,21.04,29.84,-0.002,-0.020,0.791,3.42
16:38:54.642,18.74,23.27,29.82,-0.002,-0.021,0.792,3.11
16:38:54.977,18.34,22.30,29.85,-0.002,-0.022,0.807,4.85
16:38:55.312,19.86,24.48,29.83,-0.002,-0.022,0.787,4.61
16:38:55.648,20.90,24.74,29.79,-0.002,-0.023,0.792,3.11
16:38:55.984,16.40,19.82,29.76,-0.003,-0.024,0.808,3.09
16:38:56.319,20.63,24.31,29.81,-0.003,-0.024,0.808,3.09
16:38:56.655,19.34,23.30,29.74,-0.003,-0.024,0.808,3.09
16:38:56.992,16.53,21.05,29.66,-0.003,-0.024,0.814,3.10
16:38:57.328,16.71,19.91,29.75,-0.003,-0.024,0.814,3.10
16:38:57.664,15.71,19.01,29.82,-0.003,-0.024,0.814,3.10
16:38:57.999,20.56,23.95,29.84,-0.003,-0.024,0.814,3.10
16:38:58.334,17.59,21.45,29.85,-0.002,-0.024,0.790,4.88
16:38:58.671,16.06,21.34,29.70,-0.002,-0.021,0.808,3.14
16:38:59.007,24.04,28.16,29.75,0.000,-0.023,0.772,1.62
16:38:59.342,14.67,19.10,29.80,-0.001,-0.022,0.772,-0.00
16:38:59.678,26.59,29.91,29.83,-0.002,-0.025,0.792,3.10
16:39:00.014,19.72,23.49,29.75,-0.001,-0.022,0.786,3.27
16:39:00.350,16.04,19.84,29.73,0.000,-0.019,0.772,1.45
16:39:00.686,19.34,23.19,29.80,-0.002,-0.023,0.808,4.40
16:39:01.022,18.02,21.86,29.75,-0.004,-0.029,0.810,1.79
16:39:01.357,19.76,23.22,29.85,-0.003,-0.026,0.788,3.09
16:39:01.693,17.71,23.22,29.73,-0.002,-0.025,0.810,1.26
16:39:02.029,15.13,18.44,29.81,0.000,0.000,0.000,0.00
16:39:02.364,17.31,20.99,29.77,-0.005,-0.031,0.791,3.54
16:39:02.700,19.44,23.13,29.81,-0.003,-0.028,0.787,2.93
16:39:03.035,16.93,20.65,29.84,-0.003,-0.027,0.788,3.26
16:39:03.370,14.86,19.43,29.82,0.000,0.000,0.000,0.00
16:39:03.706,15.03,18.37,29.82,-0.006,-0.034,0.788,3.04
16:39:04.041,27.06,30.46,29.85,-0.006,-0.037,0.792,2.99
16:39:04.377,17.25,21.87,29.70,-0.006,-0.036,0.792,2.99
16:39:04.714,16.98,20.60,29.71,-0.006,-0.034,0.786,3.20
16:39:05.050,21.52,25.12,29.79,-0.005,-0.034,0.772,1.80
16:39:05.385,13.83,17.06,29.84,0.000,0.000,0.000,0.00
16:39:05.721,16.20,19.90,29.74,0.000,0.000,0.000,0.00
16:39:06.057,16.11,20.05,29.78,0.000,0.000,0.000,0.00
16:39:06.399,18.83,22.53,29.24,-0.009,-0.043,0.813,2.01
16:39:06.734,16.86,21.42,29.85,-0.010,-0.042,0.790,2.88
16:39:07.069,13.78,18.21,29.85,0.000,0.000,0.000,0.00
16:39:07.404,17.23,20.77,29.82,-0.013,-0.047,0.792,2.85
