Timestamp,Algo_ms,Loop_ms,FPS,Body_X,Body_Y,Alt_Z,Marker_Yaw
17:05:06.262,25.61,29.52,27.08,0.000,0.000,0.000,0.00
17:05:06.597,18.90,22.10,29.83,0.000,0.000,0.000,0.00
17:05:06.933,16.50,20.30,29.80,0.000,0.000,0.000,0.00
17:05:07.269,21.56,25.03,29.71,0.000,0.000,0.000,0.00
17:05:07.606,20.26,24.67,29.69,0.000,0.000,0.000,0.00
17:05:07.943,17.64,21.80,29.67,0.000,0.000,0.000,0.00
17:05:08.278,23.06,26.25,29.84,0.000,0.000,0.000,0.00
17:05:08.614,16.61,20.10,29.78,0.000,0.000,0.000,0.00
17:05:08.949,18.43,22.37,29.82,0.000,0.000,0.000,0.00
17:05:09.285,22.74,26.86,29.77,0.000,0.000,0.000,0.00
17:05:09.621,16.43,20.09,29.78,0.000,0.000,0.000,0.00
17:05:09.958,16.93,21.41,29.70,0.000,0.000,0.000,0.00
17:05:10.293,15.40,18.86,29.81,0.000,0.000,0.000,0.00
17:05:10.628,14.70,18.30,29.85,0.000,0.000,0.000,0.00
17:05:10.963,15.46,19.56,29.83,0.000,0.000,0.000,0.00
17:05:11.298,13.26,16.89,29.85,0.000,0.000,0.000,0.00
17:05:11.634,18.78,22.41,29.80,0.008,0.040,0.647,175.91
17:05:11.969,19.22,23.27,29.81,-0.022,0.023,0.775,179.26
17:05:12.307,16.87,20.60,29.63,0.000,0.000,0.000,0.00
17:05:12.642,19.21,23.00,29.85,0.000,0.000,0.000,0.00
17:05:12.977,16.34,20.05,29.83,0.000,0.000,0.000,0.00
17:05:13.313,22.01,25.33,29.80,-0.019,0.018,0.780,178.40
17:05:13.649,17.33,21.11,29.79,-0.022,0.021,0.775,-176.17
17:05:13.984,14.27,18.68,29.79,0.000,0.000,0.000,0.00
17:05:14.320,16.77,20.82,29.77,0.000,0.000,0.000,0.00
17:05:14.655,15.20,18.55,29.84,0.242,-0.156,0.795,-10.78
17:05:14.990,14.87,18.51,29.84,0.000,0.000,0.000,0.00
17:05:15.326,24.21,27.95,29.80,-0.027,0.012,0.784,0.32
17:05:15.662,15.02,19.43,29.79,0.000,0.000,0.000,0.00
17:05:15.998,21.97,25.49,29.73,0.000,0.000,0.000,0.00
17:05:16.334,14.92,18.19,29.78,0.000,0.000,0.000,0.00
17:05:16.670,16.28,19.69,29.72,0.000,0.000,0.000,0.00
17:05:17.005,17.57,21.49,29.84,0.000,0.000,0.000,0.00
