Time_ms,Algo_ms,E2E_ms,FPS,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
7.5,0.00,0.00,0.00,0,0,0,0
665.1,89.24,89.24,0.00,0,0,0,0
773.1,0.13,0.13,0.00,0,0,0,0
846.0,33.64,33.64,0.00,0,0,0,0
857.5,0.00,0.00,0.00,0,0,0,0
923.6,26.68,26.68,0.00,0,0,0,0
937.1,0.00,0.00,0.00,0,0,0,0
1001.8,26.44,26.44,0.00,0,0,0,0
1016.6,0.00,0.00,0.00,0,0,0,0
1082.9,27.96,27.96,0.00,0,0,0,0
1095.7,0.00,0.00,9.15,0,0,0,0
1168.8,34.53,34.53,9.15,0,0,0,0
1181.0,0.00,0.00,9.15,0,0,0,0
1246.6,26.96,26.96,9.15,0,0,0,0
1260.0,0.00,0.00,9.15,0,0,0,0
1328.0,28.81,28.81,9.15,0,0,0,0
1339.5,0.00,0.00,9.15,0,0,0,0
1407.1,27.89,27.90,9.15,0,0,0,0
1420.1,0.01,0.01,9.15,0,0,0,0
1490.5,30.01,30.01,9.15,0,0,0,0
1502.6,0.00,0.00,24.58,0,0,0,0
1568.6,26.98,26.98,24.58,0,0,0,0
1582.0,0.00,0.00,24.58,0,0,0,0
1648.3,27.34,27.34,24.58,0,0,0,0
1661.5,0.00,0.00,24.58,0,0,0,0
1728.4,27.99,27.99,24.58,0,0,0,0
1741.6,0.00,0.00,24.58,0,0,0,0
1811.2,29.86,29.86,24.58,0,0,0,0
1823.1,0.00,0.00,24.58,0,0,0,0
1889.7,27.77,27.77,24.58,0,0,0,0
1902.8,0.00,0.00,24.99,0,0,0,0
1970.0,28.30,28.30,24.99,0,0,0,0
1982.2,0.00,0.00,24.99,0,0,0,0
2049.0,28.05,28.05,24.99,0,0,0,0
2061.8,0.00,0.00,24.99,0,0,0,0
2128.1,27.88,27.88,24.99,0,0,0,0
2140.8,0.01,0.01,24.99,0,0,0,0
2207.4,27.56,27.56,24.99,0,0,0,0
2220.3,0.00,0.00,24.99,0,0,0,0
2286.0,26.80,26.80,24.99,0,0,0,0
2300.2,0.00,0.00,25.17,0,0,0,0
2366.2,27.57,27.57,25.17,0,0,0,0
2379.7,0.01,0.01,25.17,0,0,0,0
2446.5,28.11,28.11,25.17,0,0,0,0
2458.4,0.00,0.00,25.17,0,0,0,0
2530.3,29.14,29.14,25.17,0,0,0,0
2542.1,0.00,0.00,25.17,0,0,0,0
2608.2,27.36,27.36,25.17,0,0,0,0
2621.3,0.00,0.00,25.17,0,0,0,0
2690.3,30.17,30.17,25.17,0,0,0,0
2702.1,0.00,0.00,24.87,0,0,0,0
2769.1,28.23,28.23,24.87,0,0,0,0
2780.9,0.01,0.01,24.87,0,0,0,0
2845.1,25.76,25.76,24.87,0,0,0,0
2860.3,0.00,0.00,24.87,0,0,0,0
2926.9,28.18,28.18,24.87,0,0,0,0
2939.0,0.00,0.00,24.87,0,0,0,0
3006.2,28.74,28.74,24.87,0,0,0,0
3018.0,0.00,0.00,24.87,0,0,0,0
3085.3,27.76,27.76,24.87,0,0,0,0
3097.6,0.00,0.00,25.27,0,0,0,0
3164.2,27.14,27.14,25.27,0,0,0,0
3177.1,0.00,0.00,25.27,0,0,0,0
3243.7,27.66,27.66,25.27,0,0,0,0
3257.7,0.00,0.00,25.27,0,0,0,0
3323.2,26.61,26.61,25.27,0,0,0,0
3337.7,0.00,0.00,25.27,0,0,0,0
3402.7,26.94,26.94,25.27,0,0,0,0
3416.3,0.00,0.00,25.27,0,0,0,0
3482.6,27.74,27.74,25.27,0,0,0,0
3495.7,0.00,0.00,25.14,0,0,0,0
3560.4,26.15,26.15,25.14,0,0,0,0
3574.7,0.00,0.00,25.14,0,0,0,0
3639.2,26.26,26.26,25.14,0,0,0,0
3654.1,0.00,0.00,25.14,0,0,0,0
3719.4,26.78,26.78,25.14,0,0,0,0
3732.5,0.00,0.00,25.14,0,0,0,0
3797.0,25.41,25.41,25.14,0,0,0,0
3812.7,0.00,0.00,25.14,0,0,0,0
3874.6,23.41,23.42,25.14,0,0,0,0
3892.6,0.00,0.00,25.26,0,0,0,0
3956.0,25.54,25.54,25.26,0,0,0,0
3970.6,0.00,0.00,25.26,0,0,0,0
4039.9,30.51,30.51,25.26,0,0,0,0
4053.0,0.00,0.00,25.26,0,0,0,0
4120.9,28.78,28.78,25.26,0,0,0,0
4133.9,0.00,0.00,25.26,0,0,0,0
4197.2,25.00,25.00,25.26,0,0,0,0
4212.4,0.00,0.00,25.26,0,0,0,0
4275.5,24.42,24.42,25.26,0,0,0,0
4291.8,0.00,0.00,24.98,0,0,0,0
4355.4,24.76,24.76,24.98,0,0,0,0
4370.3,0.00,0.00,24.98,0,0,0,0
4435.1,25.38,25.38,24.98,0,0,0,0
4450.2,0.00,0.00,24.98,0,0,0,0
4513.3,23.95,23.95,24.98,0,0,0,0
4529.1,0.00,0.00,24.98,0,0,0,0
4591.5,23.10,23.10,24.98,0,0,0,0
4608.2,0.00,0.00,24.98,0,0,0,0
4670.3,22.93,22.93,24.98,0,0,0,0
4687.9,0.00,0.00,25.25,0,0,0,0
4751.5,25.18,25.18,25.25,0,0,0,0
4767.9,0.00,0.00,25.25,0,0,0,0
4829.3,22.57,22.57,25.25,0,0,0,0
4846.6,0.00,0.00,25.25,0,0,0,0
4910.8,24.68,24.68,25.25,0,0,0,0
4927.6,0.00,0.00,25.25,0,0,0,0
4989.7,23.45,23.45,25.25,0,0,0,0
5007.1,0.00,0.00,25.25,0,0,0,0
5068.6,22.99,22.99,25.25,0,0,0,0
5090.6,0.01,0.01,25.10,0,0,0,0
5148.8,24.24,24.24,25.10,0,0,0,0
5165.3,0.00,0.00,25.10,0,0,0,0
5227.6,23.30,23.30,25.10,0,0,0,0
5246.3,0.00,0.00,25.10,0,0,0,0
5307.3,23.20,23.20,25.10,0,0,0,0
5323.2,0.00,0.00,25.10,0,0,0,0
5386.0,23.55,23.55,25.10,0,0,0,0
5405.3,0.01,0.01,25.10,0,0,0,0
5466.8,23.34,23.34,25.10,0,0,0,0
5484.5,0.00,0.00,25.13,0,0,0,0
5546.0,22.65,22.65,25.13,0,0,0,0
5564.3,0.01,0.01,25.13,0,0,0,0
5626.2,23.26,23.26,25.13,0,0,0,0
5645.5,0.01,0.01,25.13,0,0,0,0
5705.4,22.70,22.70,25.13,0,0,0,0
5726.5,0.01,0.01,25.13,0,0,0,0
5786.5,23.68,23.68,25.13,0,0,0,0
5804.2,0.00,0.00,25.13,0,0,0,0
5865.9,22.95,22.95,25.13,0,0,0,0
5885.0,0.01,0.01,25.04,0,0,0,0
5945.2,22.92,22.92,25.04,0,0,0,0
5964.4,0.00,0.00,25.04,0,0,0,0
6025.9,23.60,23.60,25.04,0,0,0,0
6045.9,0.00,0.00,25.04,0,0,0,0
6105.4,24.12,24.12,25.04,0,0,0,0
6124.8,0.01,0.01,25.04,0,0,0,0
6184.3,22.74,22.74,25.04,0,0,0,0
6203.1,0.01,0.01,25.04,0,0,0,0
6263.7,22.95,22.95,25.04,0,0,0,0
6287.9,0.00,0.01,25.10,0,0,0,0
6345.3,23.79,23.79,25.10,0,0,0,0
6362.4,0.01,0.01,25.10,0,0,0,0
6424.3,22.83,22.83,25.10,0,0,0,0
6443.2,0.00,0.00,25.10,0,0,0,0
6505.5,25.39,25.39,25.10,0,0,0,0
6522.3,0.00,0.00,25.10,0,0,0,0
6584.9,24.97,24.97,25.10,0,0,0,0
6602.6,0.00,0.00,25.10,0,0,0,0
6664.6,23.42,23.42,25.10,0,0,0,0
6682.2,0.00,0.00,25.10,0,0,0,0
6745.3,25.47,25.47,25.10,0,0,0,0
6762.4,0.01,0.01,25.10,0,0,0,0
6826.3,25.37,25.37,25.10,0,0,0,0
6845.0,0.00,0.00,25.10,0,0,0,0
6905.0,23.46,23.46,25.10,0,0,0,0
6924.8,0.00,0.00,25.10,0,0,0,0
