Time_ms,Algo_ms,E2E_ms,FPS,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
62.1,52.58,52.58,0.00,0,0,0,0
384.1,49.29,49.29,0.00,0,0,0,0
548.4,36.20,36.20,0.00,0,0,0,0
591.1,26.12,26.12,0.00,0,0,0,0
644.5,30.91,30.91,0.00,0,0,0,0
690.7,26.95,26.95,0.00,0,0,0,0
738.7,25.14,25.14,0.00,0,0,0,0
792.9,27.65,27.65,0.00,0,0,0,0
836.0,23.97,23.97,0.00,0,0,0,0
886.8,24.67,24.67,0.00,0,0,0,0
937.4,26.40,26.40,11.00,0,0,0,0
987.5,23.80,23.80,11.00,0,0,0,0
1033.6,20.95,20.95,11.00,0,0,0,0
1085.0,23.38,23.38,11.00,0,0,0,0
1136.8,26.17,26.17,11.00,0,0,0,0
1186.9,23.54,23.54,11.00,0,0,0,0
1242.8,30.43,30.43,11.00,0,0,0,0
1289.9,28.37,28.37,11.00,0,0,0,0
1339.0,27.88,27.88,11.00,0,0,0,0
1395.4,30.98,30.98,11.00,0,0,0,0
1449.9,38.75,38.75,20.00,0,0,0,0
1495.0,33.38,33.38,20.00,0,0,0,0
1543.2,31.91,31.91,20.00,0,0,0,0
1591.7,26.21,26.21,20.00,0,0,0,0
1647.3,36.40,36.40,20.00,0,0,0,0
1692.3,31.46,31.46,20.00,0,0,0,0
1742.1,30.85,30.85,20.00,0,0,0,0
1791.6,24.42,24.42,20.00,0,0,0,0
1842.8,31.00,31.00,20.00,0,0,0,0
1891.4,30.09,30.09,20.00,0,0,0,0
1941.9,30.15,30.15,20.00,0,0,0,0
1991.6,24.37,24.37,20.00,0,0,0,0
2043.7,29.81,29.81,20.00,0,0,0,0
2091.9,27.30,27.30,20.00,0,0,0,0
2143.6,29.03,29.03,20.00,0,0,0,0
2193.1,25.20,25.20,20.00,0,0,0,0
2245.6,31.41,31.41,20.00,0,0,0,0
2293.9,29.87,29.87,20.00,0,0,0,0
2344.4,29.35,29.35,20.00,0,0,0,0
2392.7,23.85,23.85,20.00,0,0,0,0
2440.6,25.92,25.92,19.88,0,0,0,0
2494.3,29.82,29.82,19.88,0,0,0,0
2545.6,28.08,28.08,19.88,0,0,0,0
2592.7,25.81,25.81,19.88,0,0,0,0
2644.6,30.24,30.24,19.88,0,0,0,0
2693.6,29.81,29.81,19.88,0,0,0,0
2745.0,29.45,29.45,19.88,0,0,0,0
2794.7,27.70,27.70,19.88,0,0,0,0
2844.7,30.77,30.77,19.88,0,0,0,0
2895.2,31.41,31.41,19.88,0,0,0,0
2945.5,31.39,31.40,20.04,0,0,0,0
2990.8,26.84,26.84,20.04,0,0,0,0
3042.4,28.66,28.66,20.04,0,0,0,0
3095.2,31.84,31.84,20.04,0,0,0,0
3145.0,31.15,31.15,20.04,0,0,0,0
3192.7,26.88,26.88,20.04,0,0,0,0
3243.4,30.12,30.12,20.04,0,0,0,0
3292.9,30.28,30.28,20.04,0,0,0,0
3343.7,31.54,31.54,20.04,0,0,0,0
3392.6,29.85,29.85,20.04,0,0,0,0
3442.0,30.68,30.68,20.06,0,0,0,0
3490.5,29.11,29.11,20.06,0,0,0,0
3542.8,30.83,30.83,20.06,0,0,0,0
3595.8,28.24,28.24,20.06,0,0,0,0
3642.5,30.50,30.50,20.06,0,0,0,0
3692.9,31.26,31.26,20.06,0,0,0,0
3744.4,32.49,32.49,20.06,0,0,0,0
3794.9,27.88,27.88,20.06,0,0,0,0
3850.4,39.11,39.11,20.06,0,0,0,0
3894.8,32.51,32.51,20.06,0,0,0,0
3945.8,33.22,33.22,19.99,0,0,0,0
3993.2,26.19,26.19,19.99,0,0,0,0
4045.3,29.42,29.42,19.99,0,0,0,0
4095.4,29.81,29.81,19.99,0,0,0,0
4146.5,29.94,29.94,19.99,0,0,0,0
4193.0,26.55,26.55,19.99,0,0,0,0
4248.8,34.64,34.64,19.99,0,0,0,0
4296.0,32.23,32.23,19.99,0,0,0,0
4346.1,30.43,30.43,19.99,0,0,0,0
4393.4,27.11,27.11,19.99,0,0,0,0
4443.3,28.87,28.87,19.90,0,0,0,0
4495.3,31.02,31.02,19.90,0,0,0,0
4545.5,31.86,31.86,19.90,0,0,0,0
4592.5,29.40,29.40,19.90,0,0,0,0
4641.9,30.39,30.39,19.90,0,0,0,0
4691.7,30.20,30.20,19.90,0,0,0,0
4743.2,30.51,30.51,19.90,0,0,0,0
4793.3,28.95,28.95,19.90,0,0,0,0
4848.4,36.84,36.84,19.90,0,0,0,0
4894.3,32.76,32.76,19.90,0,0,0,0
4944.4,32.16,32.16,20.12,0,0,0,0
4995.4,31.74,31.74,20.12,0,0,0,0
5039.3,28.34,28.34,20.12,0,0,0,0
5087.7,26.67,26.67,20.12,0,0,0,0
5161.3,49.87,49.87,20.12,0,0,0,0
5203.3,28.89,28.89,20.12,0,0,0,0
5255.5,31.39,31.39,20.12,0,0,0,0
5305.5,31.27,31.27,20.12,0,0,0,0
5353.5,25.87,25.87,20.12,0,0,0,0
5404.6,30.82,30.82,20.12,0,0,0,0
5454.3,30.34,30.34,19.52,0,0,0,0
5507.0,31.89,31.89,19.52,0,0,0,0
5555.3,29.04,29.04,19.52,0,0,0,0
5605.4,31.63,31.63,19.52,0,0,0,0
5654.6,30.99,30.99,19.52,0,0,0,0
5705.0,30.81,30.81,19.52,0,0,0,0
5754.3,28.73,28.73,19.52,0,0,0,0
5804.0,30.51,30.51,19.52,0,0,0,0
5853.4,29.90,29.90,19.52,0,0,0,0
5907.0,32.51,32.51,19.52,0,0,0,0
5952.6,26.79,26.79,20.00,0,0,0,0
6003.9,30.69,30.69,20.00,0,0,0,0
6054.5,31.92,31.92,20.00,0,0,0,0
6107.4,34.43,34.43,20.00,0,0,0,0
