Time_ms,Algo_ms,E2E_ms,FPS,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
6722.2,27.92,27.92,20.06,0,0,0,0
6772.5,28.22,28.22,20.06,0,0,0,0
6823.5,27.90,27.90,20.06,0,0,0,0
6878.7,30.77,30.77,20.06,0,0,0,0
6927.4,34.34,34.34,20.03,0,0,0,0
6978.4,36.07,36.07,20.03,0,0,0,0
7028.3,35.29,35.29,20.03,0,0,0,0
7071.7,27.09,27.09,20.03,0,0,0,0
7123.7,29.49,29.49,20.03,0,0,0,0
7173.2,29.96,29.96,20.03,0,0,0,0
7223.9,28.32,28.32,20.03,0,0,0,0
7270.7,26.36,26.36,20.03,0,0,0,0
7321.6,28.82,28.82,20.03,0,0,0,0
7371.5,28.94,28.94,20.03,0,0,0,0
7421.8,29.29,29.29,20.06,0,0,0,0
7470.7,25.32,25.32,20.06,0,0,0,0
7529.0,33.41,33.41,20.06,0,0,0,0
7572.7,30.60,30.60,20.06,0,0,0,0
7624.6,31.63,31.63,20.06,0,0,0,0
7671.6,25.21,25.21,20.06,0,0,0,0
7722.8,29.98,29.98,20.06,0,0,0,0
7774.4,31.92,31.92,20.06,0,0,0,0
7825.2,31.84,31.84,20.06,0,0,0,0
7869.7,26.00,26.00,20.06,0,0,0,0
7921.3,29.55,29.55,20.02,0,0,0,0
7970.6,29.30,29.30,20.02,0,0,0,0
8022.9,31.50,31.50,20.02,0,0,0,0
8071.2,24.62,24.62,20.02,0,0,0,0
8122.1,31.07,31.07,20.02,0,0,0,0
8171.2,29.74,29.74,20.02,0,0,0,0
8221.8,31.10,31.10,20.02,0,0,0,0
8272.1,24.96,24.96,20.02,0,0,0,0
8321.6,31.69,31.69,20.02,0,0,0,0
8371.2,30.97,30.97,20.02,0,0,0,0
8422.2,32.33,32.33,20.06,0,0,0,0
8471.9,29.01,29.01,20.06,0,0,0,0
8520.0,30.45,30.45,20.06,0,0,0,0
8569.4,30.36,30.36,20.06,0,0,0,0
8620.2,31.35,31.35,20.06,0,0,0,0
8669.7,26.64,26.64,20.06,0,0,0,0
8723.3,26.34,26.34,20.06,0,0,0,0
8775.6,35.63,35.63,20.06,0,0,0,0
8826.5,37.36,37.36,20.06,0,0,0,0
8870.2,26.72,26.72,20.06,0,0,0,0
8922.0,29.34,29.34,19.90,0,0,0,0
8971.8,30.15,30.15,19.90,0,0,0,0
9022.4,30.92,30.92,19.90,0,0,0,0
9072.0,28.32,28.32,19.90,0,0,0,0
9121.6,30.20,30.20,19.90,0,0,0,0
9171.4,30.11,30.11,19.90,0,0,0,0
9223.9,33.29,33.29,19.90,0,0,0,0
9272.4,22.51,22.51,19.90,0,0,0,0
9323.9,28.91,28.91,19.90,0,0,0,0
9374.4,28.48,28.48,19.90,0,0,0,0
9426.7,26.63,26.63,19.86,0,0,0,0
9478.7,33.28,33.28,19.86,0,0,0,0
9526.5,31.12,31.12,19.86,0,0,0,0
9578.7,32.99,32.99,19.86,0,0,0,0
9630.7,31.71,31.71,19.86,0,0,0,0
9686.6,39.48,39.48,19.86,0,0,0,0
9731.1,32.47,32.47,19.86,0,0,0,0
9779.0,29.94,29.94,19.86,0,0,0,0
9834.8,29.37,29.37,19.86,0,0,0,0
9877.7,26.76,26.76,19.86,0,0,0,0
9927.5,25.77,25.77,19.78,0,0,0,0
9982.8,31.23,31.23,19.78,0,0,0,0
10032.9,28.64,28.64,19.78,0,0,0,0
10081.0,30.15,30.15,19.78,0,0,0,0
10130.3,29.44,29.44,19.78,0,0,0,0
10185.3,34.43,34.43,19.78,0,0,0,0
10231.6,29.27,29.27,19.78,0,0,0,0
10278.7,29.02,29.02,19.78,0,0,0,0
10328.9,29.21,29.21,19.78,0,0,0,0
10379.2,29.56,29.56,19.78,0,0,0,0
10429.8,24.47,24.47,20.12,0,0,0,0
10476.9,29.55,29.55,20.12,0,0,0,0
10526.7,29.23,29.23,20.12,0,0,0,0
10577.2,30.07,30.07,20.12,0,0,0,0
10631.2,27.50,27.50,20.12,0,0,0,0
10683.3,36.21,36.21,20.12,0,0,0,0
10727.9,30.87,30.87,20.12,0,0,0,0
10778.5,31.49,31.49,20.12,0,0,0,0
10829.8,25.33,25.33,20.12,0,0,0,0
10880.5,30.17,30.17,20.12,0,0,0,0
10929.7,29.26,29.26,19.93,0,0,0,0
10980.6,30.30,30.30,19.93,0,0,0,0
11041.0,34.72,34.72,19.93,0,0,0,0
11079.7,26.80,26.80,19.93,0,0,0,0
11132.4,30.07,30.07,19.93,0,0,0,0
11183.4,30.79,30.79,19.93,0,0,0,0
11231.4,24.57,24.57,19.93,0,0,0,0
11282.1,30.18,30.18,19.93,0,0,0,0
11330.4,28.70,28.70,19.93,0,0,0,0
11381.5,29.07,29.07,19.93,0,0,0,0
11431.0,24.90,24.90,19.96,0,0,0,0
11481.7,31.18,31.18,19.96,0,0,0,0
11531.1,30.18,30.18,19.96,0,0,0,0
11582.1,31.73,31.73,19.96,0,0,0,0
11634.8,29.42,29.42,19.96,0,0,0,0
11680.9,30.40,30.40,19.96,0,0,0,0
11732.4,32.19,32.19,19.96,0,0,0,0
11781.5,31.49,31.49,19.96,0,0,0,0
11833.8,28.09,28.09,19.96,0,0,0,0
11884.8,35.28,35.28,19.96,0,0,0,0
11930.0,30.50,30.50,20.05,0,0,0,0
11980.1,30.71,30.71,20.05,0,0,0,0
12030.8,24.93,24.93,20.05,0,0,0,0
12076.8,28.46,28.46,20.05,0,0,0,0
12127.7,29.26,29.26,20.05,0,0,0,0
12178.6,30.19,30.19,20.05,0,0,0,0
12230.5,25.82,25.82,20.05,0,0,0,0
12273.7,26.31,26.31,20.05,0,0,0,0
12324.6,26.80,26.80,20.05,0,0,0,0
12379.1,31.57,31.57,20.05,0,0,0,0
12429.7,25.82,25.82,20.10,0,0,0,0
12472.9,25.83,25.83,20.10,0,0,0,0
12524.6,27.06,27.06,20.10,0,0,0,0
12577.7,30.19,30.19,20.10,0,0,0,0
12629.7,25.36,25.36,20.10,0,0,0,0
12682.3,29.37,29.37,20.10
