Time_ms,Algo_ms,E2E_ms,FPS,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
64.0,55.99,55.99,0.00,0,0,0,0
377.3,51.95,51.95,0.00,0,0,0,0
542.4,34.80,34.80,0.00,0,0,0,0
592.4,31.84,31.84,0.00,0,0,0,0
639.2,31.17,31.17,0.00,0,0,0,0
687.3,28.23,28.23,0.00,0,0,0,0
741.1,32.37,32.37,0.00,0,0,0,0
791.0,26.99,26.99,0.00,0,0,0,0
836.2,28.00,28.00,0.00,0,0,0,0
889.1,30.76,30.76,0.00,0,0,0,0
940.0,31.61,31.61,11.04,0,0,0,0
991.5,26.51,26.51,11.04,0,0,0,0
1048.6,37.25,37.25,11.04,0,0,0,0
1092.0,31.63,31.63,11.04,0,0,0,0
1140.5,29.27,29.27,11.04,0,0,0,0
1190.5,24.52,24.52,11.04,0,0,0,0
1241.4,30.58,30.58,11.04,0,0,0,0
1289.6,29.34,29.34,11.04,0,0,0,0
1341.1,30.88,30.88,11.04,0,0,0,0
1391.4,26.12,26.12,11.04,0,0,0,0
1438.1,29.04,29.04,19.96,0,0,0,0
1493.0,33.57,33.57,19.96,0,0,0,0
1550.9,39.04,39.04,19.96,0,0,0,0
1601.3,34.10,34.10,19.96,0,0,0,0
1648.1,31.66,31.66,19.96,0,0,0,0
1699.4,32.04,32.04,19.96,0,0,0,0
1751.5,31.07,31.07,19.96,0,0,0,0
1794.8,27.47,27.47,19.96,0,0,0,0
1846.9,29.34,29.34,19.96,0,0,0,0
1897.4,29.97,29.97,19.96,0,0,0,0
1948.5,25.58,25.58,19.71,0,0,0,0
1995.9,29.33,29.33,19.71,0,0,0,0
2045.9,29.26,29.26,19.71,0,0,0,0
2099.6,33.27,33.27,19.71,0,0,0,0
2149.7,28.98,28.98,19.71,0,0,0,0
2192.5,27.10,27.10,19.71,0,0,0,0
2244.9,29.17,29.17,19.71,0,0,0,0
2294.6,29.21,29.21,19.71,0,0,0,0
2346.1,27.44,27.44,19.71,0,0,0,0
2392.6,26.44,26.44,19.71,0,0,0,0
2444.7,28.76,28.76,20.03,0,0,0,0
2495.6,29.06,29.06,20.03,0,0,0,0
2547.7,26.16,26.16,20.03,0,0,0,0
2592.7,26.74,26.74,20.03,0,0,0,0
2646.3,30.43,30.43,20.03,0,0,0,0
2694.7,29.31,29.31,20.03,0,0,0,0
2745.5,26.81,26.81,20.03,0,0,0,0
2792.1,26.11,26.12,20.03,0,0,0,0
2843.5,30.21,30.21,20.03,0,0,0,0
2893.3,29.25,29.25,20.03,0,0,0,0
2944.7,28.84,28.84,20.10,0,0,0,0
2992.4,28.29,28.29,20.10,0,0,0,0
3043.8,31.16,31.16,20.10,0,0,0,0
3092.6,29.63,29.63,20.10,0,0,0,0
3143.9,29.88,29.88,20.10,0,0,0,0
3191.6,28.30,28.30,20.10,0,0,0,0
3241.5,29.33,29.33,20.10,0,0,0,0
3291.1,28.14,28.14,20.10,0,0,0,0
3342.0,28.89,28.89,20.10,0,0,0,0
3390.3,24.15,24.15,20.10,0,0,0,0
3441.0,28.80,28.80,20.07,0,0,0,0
3490.4,28.55,28.55,20.07,0,0,0,0
3540.4,28.38,28.38,20.07,0,0,0,0
3590.7,24.31,24.31,20.07,0,0,0,0
3640.7,29.71,29.71,20.07,0,0,0,0
3689.8,29.21,29.21,20.07,0,0,0,0
3743.0,32.34,32.34,20.07,0,0,0,0
3791.7,28.44,28.44,20.07,0,0,0,0
3836.4,27.45,27.45,20.07,0,0,0,0
3887.0,27.17,27.17,20.07,0,0,0,0
