Time_ms,Algo_ms,E2E_ms,FPS,ErrX,ErrY,Yaw_Cmd,Pitch_Cmd
64.1,55.13,55.13,0.00,0,0,0,0
386.7,57.89,57.89,0.00,0,0,0,0
545.7,35.24,35.24,0.00,0,0,0,0
605.0,41.35,41.35,0.00,0,0,0,0
647.5,30.78,30.78,0.00,0,0,0,0
698.0,31.39,31.39,0.00,0,0,0,0
748.5,25.92,25.92,0.00,0,0,0,0
792.9,27.80,27.80,0.00,0,0,0,0
846.2,30.62,30.62,0.00,0,0,0,0
895.7,30.39,30.39,0.00,0,0,0,0
947.5,31.59,31.59,10.96,0,0,0,0
992.1,26.92,26.92,10.96,0,0,0,0
1048.7,33.61,33.61,10.96,0,0,0,0
1098.2,33.59,33.59,10.96,0,0,0,0
1146.7,32.25,32.25,10.96,0,0,0,0
1195.2,30.06,30.06,10.96,0,0,0,0
1245.4,31.01,31.01,10.96,0,0,0,0
1295.2,30.69,30.69,10.96,0,0,0,0
1346.9,31.40,31.40,10.96,0,0,0,0
1393.5,27.10,27.10,10.96,0,0,0,0
1445.2,30.95,30.95,20.03,0,0,0,0
1503.3,39.74,39.74,20.03,0,0,0,0
1551.4,34.46,34.46,20.03,0,0,0,0
1609.0,34.29,34.29,20.03,0,0,0,0
1660.8,36.47,36.47,20.03,0,0,0,0
1707.9,33.99,33.99,20.03,0,0,0,0
1753.2,27.70,27.70,20.03,0,0,0,0
1804.1,28.43,28.43,20.03,0,0,0,0
1855.8,29.96,29.96,20.03,0,0,0,0
1908.0,29.84,29.84,20.03,0,0,0,0
1952.6,27.33,27.33,19.60,0,0,0,0
2003.9,29.22,29.22,19.60,0,0,0,0
2053.9,29.35,29.35,19.60,0,0,0,0
2105.8,30.57,30.57,19.60,0,0,0,0
2153.3,26.88,26.88,19.60,0,0,0,0
2204.8,30.77,30.77,19.60,0,0,0,0
2254.7,30.58,30.58,19.60,0,0,0,0
2308.7,31.95,31.95,19.60,0,0,0,0
2352.4,27.13,27.13,19.60,0,0,0,0
2404.0,28.82,28.82,19.60,0,0,0,0
2455.6,30.73,30.73,20.00,0,0,0,0
2506.8,31.31,31.31,20.00,0,0,0,0
2555.7,29.21,29.21,20.00,0,0,0,0
2604.6,30.49,30.49,20.00,0,0,0,0
2654.3,30.39,30.39,20.00,0,0,0,0
2705.5,31.37,31.37,20.00,0,0,0,0
2758.3,32.78,32.78,20.00,0,0,0,0
2810.8,35.10,35.10,20.00,0,0,0,0
2855.0,30.00,30.00,20.00,0,0,0,0
2907.4,29.68,29.68,20.00,0,0,0,0
2953.2,27.01,27.01,19.98,0,0,0,0
3004.4,29.28,29.28,19.98,0,0,0,0
3056.9,31.73,31.73,19.98,0,0,0,0
3106.2,31.18,31.18,19.98,0,0,0,0
3153.2,25.48,25.48,19.98,0,0,0,0
3203.6,29.46,29.46,19.98,0,0,0,0
3252.1,29.17,29.17,19.98,0,0,0,0
3302.6,29.74,29.74,19.98,0,0,0,0
3352.4,25.11,25.11,19.98,0,0,0,0
3398.7,27.03,27.03,19.98,0,0,0,0
3450.4,29.25,29.25,20.16,0,0,0,0
3500.3,29.67,29.68,20.16,0,0,0,0
3551.0,24.40,24.40,20.16,0,0,0,0
3613.6,42.67,42.67,20.16,0,0,0,0
3660.1,34.85,34.85,20.16,0,0,0,0
3712.0,32.41,32.41,20.16,0,0,0,0
3755.8,27.63,27.63,20.16,0,0,0,0
3807.4,29.44,29.44,20.16,0,0,0,0
3857.4,29.33,29.33,20.16,0,0,0,0
3915.5,36.89,36.89,20.16,0,0,0,0
3963.9,33.19,33.19,19.61,0,0,0,0
4012.8,31.26,31.26,19.61,0,0,0,0
4063.5,32.45,32.45,19.61,0,0,0,0
4113.8,28.79,28.79,19.61,0,0,0,0
4158.3,27.54,27.54,19.61,0,0,0,0
4209.8,28.47,28.47,19.61,0,0,0,0
4259.9,29.41,29.41,19.61,0,0,0,0
4311.0,24.79,24.79,19.61,0,0,0,0
4358.6,28.80,28.80,19.61,0,0,0,0
4413.4,33.46,33.46,19.61,0,0,0,0
4462.8,33.23,33.23,20.05,0,0,0,0
4513.1,29.94,29.94,20.05,0,0,0,0
4564.3,34.91,34.91,20.05,0,0,0,0
4609.6,30.30,30.30,20.05,0,0,0,0
4658.8,29.98,29.98,20.05,0,0,0,0
4712.9,27.47,27.47,20.05,0,0,0,0
4758.2,28.47,28.47,20.05,0,0,0,0
4809.4,30.16,30.16,20.05,0,0,0,0
4859.3,30.49,30.49,20.05,0,0,0,0
4911.2,24.99,24.99,20.05,0,0,0,0
4956.4,27.93,27.93,20.04,0,0,0,0
5007.8,28.97,28.97,20.04,0,0,0,0
5059.3,29.82,29.82,20.04,0,0,0,0
5111.9,32.90,32.90,20.04,0,0,0,0
5160.4,31.76,31.76,20.04,0,0,0,0
5209.3,31.47,31.47,20.04,0,0,0,0
5259.5,31.73,31.73,20.04,0,0,0,0
5310.7,25.60,25.60,20.04,0,0,0,0
5353.1,26.67,26.67,20.04,0,0,0,0
5403.5,26.88,26.88,20.04,0,0,0,0
5455.3,29.14,29.14,20.11,0,0,0,0
5507.9,28.19,28.19,20.11,0,0,0,0
5552.9,26.79,26.79,20.11,0,0,0,0
5609.6,33.01,33.01,20.11,0,0,0,0
5658.3,32.55,32.55,20.11,0,0,0,0
5709.6,26.67,26.67,20.11,0,0,0,0
5752.2,26.38,26.38,20.11,0,0,0,0
5802.4,26.47,26.47,20.11,0,0,0,0
5854.4,28.29,28.29,20.11,0,0,0,0
5906.4,27.40,27.40,20.11,0,0,0,0
5951.8,26.29,26.29,20.00,0,0,0,0
6004.0,28.72,28.72,20.00,0,0,0,0
6058.2,32.67,32.67,20.00,0,0,0,0
6109.7,33.56,33.56,20.00,0,0,0,0
6153.7,27.32,27.32,20.00,0,0,0,0
6204.9,28.10,28.10,20.00,0,0,0,0
6255.6,28.31,28.31,20.00,0,0,0,0
6308.1,29.70,29.70,20.00,0,0,0,0
6354.6,26.05,26.05,20.00,0,0,0,0
